FechaFactura,Week,Year,NumSemana,Codigo,Kilos
2010-07-15,2010-28,2010,28,688706,914.40
2010-07-16,2010-28,2010,28,688706,288.00
2010-07-16,2010-28,2010,28,688706,720.00
2010-07-16,2010-28,2010,28,688706,1044.00
2010-07-19,2010-29,2010,29,688706,360.00
2010-07-21,2010-29,2010,29,688706,360.00
2010-07-21,2010-29,2010,29,688706,432.00
2010-07-22,2010-29,2010,29,688706,914.40
2010-07-23,2010-29,2010,29,688706,288.00
2010-07-23,2010-29,2010,29,688706,360.00
2010-07-23,2010-29,2010,29,688706,720.00
2010-07-23,2010-29,2010,29,688706,1044.00
2010-07-26,2010-30,2010,30,688706,432.00
2010-08-02,2010-31,2010,31,688706,432.00
2010-08-02,2010-31,2010,31,688706,1080.00
2010-08-03,2010-31,2010,31,688706,403.20
2010-08-05,2010-31,2010,31,688706,864.00
2010-08-06,2010-31,2010,31,688706,403.20
2010-08-06,2010-31,2010,31,688706,1202.40
2010-08-09,2010-32,2010,32,688706,432.00
2010-08-09,2010-32,2010,32,688706,1029.60
2010-08-12,2010-32,2010,32,688706,864.00
2010-08-12,2010-32,2010,32,688706,1202.40
2010-08-13,2010-32,2010,32,688706,403.20
2010-08-13,2010-32,2010,32,688706,432.00
2010-08-13,2010-32,2010,32,688706,432.00
2010-08-13,2010-32,2010,32,688706,842.40
2010-08-17,2010-33,2010,33,688706,187.20
2010-08-18,2010-33,2010,33,688706,144.00
2010-08-19,2010-33,2010,33,688706,432.00
2010-08-19,2010-33,2010,33,688706,864.00
2010-08-19,2010-33,2010,33,688706,1202.40
2010-08-20,2010-33,2010,33,688706,403.20
2010-08-23,2010-34,2010,34,688706,144.00
2010-08-23,2010-34,2010,34,688706,432.00
2010-08-23,2010-34,2010,34,688706,864.00
2010-08-26,2010-34,2010,34,688706,864.00
2010-08-26,2010-34,2010,34,688706,1202.40
2010-08-30,2010-35,2010,35,688706,288.00
2010-09-02,2010-35,2010,35,688706,957.60
2010-09-02,2010-35,2010,35,688706,1411.20
2010-09-03,2010-35,2010,35,688706,288.00
2010-09-06,2010-36,2010,36,688706,504.00
2010-09-06,2010-36,2010,36,688706,892.80
2010-09-09,2010-36,2010,36,688706,957.60
2010-09-10,2010-36,2010,36,688706,288.00
2010-09-10,2010-36,2010,36,688706,1411.20
2010-09-13,2010-37,2010,37,688706,504.00
2010-09-13,2010-37,2010,37,688706,892.80
2010-09-17,2010-37,2010,37,688706,288.00
2010-09-17,2010-37,2010,37,688706,1411.20
2010-09-20,2010-38,2010,38,688706,504.00
2010-09-20,2010-38,2010,38,688706,892.80
2010-09-22,2010-38,2010,38,688706,892.80
2010-09-23,2010-38,2010,38,688706,957.60
2010-09-23,2010-38,2010,38,688706,1411.20
2010-09-29,2010-39,2010,39,688706,180.00
2010-09-29,2010-39,2010,39,688706,741.60
2010-09-29,2010-39,2010,39,688706,986.40
2010-10-07,2010-40,2010,40,688706,741.60
2010-10-08,2010-40,2010,40,688706,180.00
2010-10-08,2010-40,2010,40,688706,1296.00
2010-10-11,2010-41,2010,41,688706,504.00
2010-10-11,2010-41,2010,41,688706,986.40
2010-10-14,2010-41,2010,41,688706,741.60
2010-10-15,2010-41,2010,41,688706,180.00
2010-10-15,2010-41,2010,41,688706,504.00
2010-10-15,2010-41,2010,41,688706,986.40
2010-10-15,2010-41,2010,41,688706,1296.00
2010-10-21,2010-42,2010,42,688706,741.60
2010-10-22,2010-42,2010,42,688706,180.00
2010-10-22,2010-42,2010,42,688706,1296.00
2010-10-25,2010-43,2010,43,688706,504.00
2010-10-25,2010-43,2010,43,688706,986.40
2010-10-28,2010-43,2010,43,688706,741.60
2010-11-02,2010-44,2010,44,688706,381.60
2010-11-04,2010-44,2010,44,688706,288.00
2010-11-04,2010-44,2010,44,688706,741.60
2010-11-08,2010-45,2010,45,688706,381.60
2010-11-08,2010-45,2010,45,688706,892.40
2010-11-08,2010-45,2010,45,688706,1569.60
2010-11-11,2010-45,2010,45,688706,741.60
2010-11-11,2010-45,2010,45,688706,892.80
2010-11-13,2010-45,2010,45,688706,1569.60
2010-11-16,2010-46,2010,46,688706,122.40
2010-11-16,2010-46,2010,46,688706,381.60
2010-11-18,2010-46,2010,46,688706,741.60
2010-11-19,2010-46,2010,46,688706,482.40
2010-11-19,2010-46,2010,46,688706,1281.60
2010-11-22,2010-47,2010,47,688706,892.80
2010-11-23,2010-47,2010,47,688706,288.00
2010-11-25,2010-47,2010,47,688706,482.40
2010-11-25,2010-47,2010,47,688706,741.60
2010-11-25,2010-47,2010,47,688706,1080.00
2010-11-26,2010-47,2010,47,688706,381.60
2010-11-29,2010-48,2010,48,688706,900.00
2010-11-30,2010-48,2010,48,688706,900.00
2010-12-01,2010-48,2010,48,688706,727.20
2010-12-02,2010-48,2010,48,688706,518.40
2010-12-02,2010-48,2010,48,688706,900.00
2010-12-02,2010-48,2010,48,688706,1440.00
2010-12-03,2010-48,2010,48,688706,1605.60
2010-12-05,2010-48,2010,48,688706,518.40
2010-12-06,2010-49,2010,49,688706,338.40
2010-12-06,2010-49,2010,49,688706,403.20
